track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,emotion
40rvBMQizxkIqnjPdEWY1v,0.000996,0.695,0.876,6.89e-06,0.106,-4.262,0.0553,89.954,0.941,0
0M955bMOoilikPXwKLYpoi,0.00461,0.498,0.83,0.0,0.139,-5.157,0.0421,89.342,0.453,0
5W8YXBz9MTIDyrpYaCg2Ky,0.000481,0.589,0.89,0.00082,0.201,-3.719,0.06,90.586,0.687,0
1AEYT6VxrxXPMoQUxsY0E4,0.000172,0.492,0.896,2.78e-06,0.189,-5.819,0.117,184.981,0.534,0
4eAwB5pnKFTmsgc3zWoYO0,0.00141,0.611,0.95,1.59e-06,0.0543,-3.509,0.0518,132.078,0.607,0
2CGDxXXYbkPOyRXHzQbqkT,0.00289,0.609,0.935,0.000359,0.188,-2.941,0.0478,95.966,0.498,0
5m7on0zpnmeAXy72ANrmfU,0.00298,0.504,0.957,0.0,0.187,-2.657,0.0529,135.013,0.676,0
6nULLS7CipGMSzgQDxDpd1,0.000595,0.557,0.886,9.84e-05,0.0904,-4.196,0.0498,114.025,0.17,0
28IEbk5a7twNTbUEvWslUb,0.157,0.644,0.939,0.0,0.233,-3.486,0.0456,106.031,0.861,0
4LFBVDJV0xpayUvquQVzhS,0.00349,0.447,0.966,0.000198,0.312,-2.966,0.089,178.105,0.533,0
4ILedfIHJ9sabVRjwhSmVW,0.000492,0.626,0.897,0.0,0.333,-3.65,0.0514,121.987,0.883,0
6ZOBP3NvffbU4SZcrnt1k6,0.00664,0.545,0.865,1.1e-05,0.168,-5.708,0.0286,99.005,0.543,0
5anCkDvJ17aznvK5TED5uo,0.000297,0.58,0.916,0.0259,0.126,-4.358,0.0387,118.004,0.683,0
1fnULsZuORnAgCFFbM8nTZ,0.00919,0.486,0.94,0.0,0.0777,-4.237,0.0605,79.727,0.42,0
5uGsG0LfotfWDq6hql4h53,0.17,0.778,0.614,2.61e-06,0.102,-9.897,0.0487,120.005,0.853,0
16DhvbuyvJob4Q9GHNYu2n,0.00935,0.58,0.748,0.0,0.753,-5.433,0.0323,109.781,0.584,0
3e2KBwxibC1rq4bA5TNKW2,0.00473,0.573,0.897,0.0,0.278,-3.549,0.0553,126.034,0.463,0
420JGkyLfLUZcgBHKiIK9v,0.0022,0.446,0.657,0.0,0.189,-4.494,0.0262,152.132,0.215,0
60a0Rd6pjrkxjPbaKzXjfq,0.00958,0.556,0.864,0.0,0.209,-5.87,0.0584,105.143,0.4,0
0gmbgwZ8iqyMPmXefof8Yf,0.00135,0.446,0.764,0.0,0.099,-5.042,0.033,172.094,0.543,0
0COqiPhxzoWICwFCS4eZcp,0.00721,0.331,0.943,2.06e-06,0.242,-3.188,0.0698,94.612,0.296,0
2nLtzopw4rPReszdYBJU6h,0.00353,0.488,0.87,0.0,0.484,-4.185,0.0421,110.072,0.211,0
0UrWr7Jnu1heq1o99ZwUd0,0.00834,0.563,0.86,0.0106,0.39,-7.533,0.0621,97.867,0.517,0
1SDl9wY1MqbpJQW0yKEWxL,0.00159,0.507,0.966,0.0,0.336,-2.635,0.046,136.035,0.502,0
1fQaoh3imrMunWVZh5kf90,0.000332,0.576,0.906,0.0614,0.0908,-7.677,0.0571,127.935,0.211,0
0EYOdF5FCkgOJJla8DI2Md,0.00662,0.538,0.981,0.0,0.219,-2.688,0.14,101.414,0.711,0
3IV4swNduIRunHREK80owz,0.00591,0.603,0.933,0.0,0.206,-3.358,0.171,96.311,0.709,0
59WN2psjkt1tyaxjspN8fp,0.0266,0.466,0.833,0.0,0.0327,-4.215,0.304,88.785,0.661,0
5z6xHjCZr7a7AIcy8sPBKy,0.00316,0.653,0.964,0.0051,0.144,-4.26,0.0578,126.928,0.872,0
